City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,0,AU,1602036388,65,-42.78,147.06,61,3
1,kaniama,4,CD,1602036390,79,-7.57,24.18,68.5,1.83
2,vestmannaeyjar,100,IS,1602036392,80,63.44,-20.27,43.61,2.93
3,pacific grove,40,US,1602036229,87,36.62,-121.92,63,3.67
4,barentsburg,20,JP,1602036399,59,43.32,145.57,62.6,8.05
5,nemuro,33,RU,1602036401,71,50.72,136.63,48.15,3.74
6,solnechnyy,1,ZA,1602036321,93,-33.93,18.42,61,8.05
7,cape town,100,SE,1602036405,100,65.83,21.69,51.8,16.11
8,boden,100,NI,1602036409,91,12.58,-87.03,75.61,1.86
9,tsihombe,40,AR,1602036411,74,-54.8,-68.3,37.4,21.92
10,chichigalpa,75,AU,1602036413,50,-23.85,151.25,78.8,13.87
11,ushuaia,0,RU,1602036416,91,69.3,139.9,25.93,21.65
12,gladstone,20,US,1602036418,49,20.89,-156.47,91.4,16.11
13,deputatskiy,20,GR,1602036420,68,36.82,21.7,73.99,3.67
14,kahului,40,US,1602036422,55,19.73,-155.09,87.8,10.29
15,methoni,23,US,1602036179,63,42.6,-73.97,55.99,3.38
16,hilo,20,AU,1602036291,58,-42.88,147.33,62.01,9.17
17,albany,1,US,1602036295,23,38.42,-121.42,87.8,5.91
18,hobart,3,HK,1602036141,74,22.29,114.16,77,1.01
19,laguna,68,MV,1602036182,72,-0.6,73.08,82.81,9.51
20,victoria,5,UA,1602036435,68,44.67,34.42,66.79,6.82
21,hithadhoo,0,GL,1602036437,79,77.48,-69.36,12.65,5.26
22,alushta,100,RU,1602036439,94,57.83,29.96,55.13,5.79
23,qaanaaq,99,MA,1602036441,80,32.3,-9.24,64.67,11.59
24,dno,6,BR,1602036221,95,-22.97,-42.03,74.1,17.56
25,asfi,40,US,1602036445,76,59.64,-151.55,51.8,11.41
26,arraial do cabo,100,PF,1602036179,83,-23.12,-134.97,74.17,7.92
27,homer,27,AU,1602036189,67,-33.65,115.33,64.99,8.99
28,rikitea,100,VN,1602036164,92,15.12,108.8,78.85,9.1
29,busselton,39,LY,1602036454,20,29.11,21.29,74.39,3.33
30,quang ngai,98,BW,1602036456,80,-23.98,23.9,63.97,15.1
